seed,sequence_id,score,rank_within_seed,plddt,plddt_pass,ppl,ppl_pass,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed3,seed3_row108307,1.9479303056242234,1.0,65.92820846905538,False,19.914468,True,0.213382,0.525307,0.8848007872078251,1.2772193120234263,0.0,-1.30466,0.101316,PASS,False,False,False,False,False,False
seed3,seed3_row21218,1.609653128803946,2.0,67.68190359477124,False,23.191862,True,0.310676,0.602955,1.4460227255307543,-0.07166199532401163,0.0,-0.79696,0.417792,PASS,False,False,False,False,False,False
seed3,seed3_row116239,1.501620244134264,3.0,65.75404081632652,False,21.317475,True,0.207993,0.601559,0.8290632155944342,0.6997818979140427,0.0,-1.337066,0.411963,PASS,False,False,False,False,False,False
seed3,seed3_row64146,1.3249154422166667,4.0,64.79995954692556,False,20.830226,True,0.200452,0.554102,0.5237357208212285,0.9003196019934833,0.0,-1.383472,0.217258,PASS,False,False,False,False,False,False
seed3,seed3_row46680,0.8254378943219504,5.0,62.720040983606566,False,20.341485,True,0.208944,0.668049,-0.1418850649942281,1.1014713704516836,0.0,-1.331304,0.699372,PASS,False,False,False,False,False,False
seed3,seed3_row31358,0.5360948074506786,6.0,58.2201948051948,False,16.624172,True,0.547643,0.558758,-1.5819371911426618,2.631410712276201,0.0,0.191153,0.236123,PASS,False,False,False,False,False,False
seed3,seed3_row113919,0.20623560255466922,7.0,60.88974652493868,False,20.963544,True,0.727983,0.618232,-0.7276205150919183,0.845449739495125,0.0,0.984415,0.482049,PASS,False,False,False,False,False,False
seed3,seed3_row21124,0.17553569429699578,8.0,60.90529218106995,False,20.481752,True,0.21166,0.520321,-0.7226455549984793,1.0437414989935359,0.0,-1.314947,0.081327,PASS,False,False,True,False,False,False
seed3,seed3_row110401,0.12034833876696001,9.0,62.17802409638554,False,22.091426,True,0.224145,0.507877,-0.31534267663340704,0.3812458791433815,0.0,-1.241671,0.031509,PASS,False,False,False,False,False,False
seed3,seed3_row76018,0.08170678963083221,10.0,58.770367346938784,False,18.54029,True,0.259955,0.598179,-1.4058695863681032,1.8427915371413364,0.0,-1.046204,0.397884,PASS,False,False,False,False,False,False
seed3,seed3_row76173,-0.2735800118391982,11.0,60.318147249190936,False,21.445341,True,0.219558,0.590443,-0.9105451573373495,0.6471559221402162,0.0,-1.268246,0.365795,PASS,False,False,False,False,False,False
seed3,seed3_row113003,-0.510580676014336,12.0,64.07073387096773,False,26.462975,False,0.274356,0.546581,0.29036708032344305,-1.4179582233396844,0.0,-0.972634,0.186867,PASS,False,False,False,False,False,False
seed3,seed3_row112328,-0.5437078192642177,13.0,60.50103896103896,False,22.620788,True,0.209859,0.654936,-0.8520156903157392,0.16337567293074495,0.0,-1.325776,0.640808,PASS,False,False,False,False,False,False
seed3,seed3_row114321,-0.783080845363341,14.0,63.47268852459016,False,26.706764,False,0.222236,0.570378,0.09897909983737194,-1.5182947788581616,0.0,-1.252681,0.283393,PASS,False,False,False,False,True,False
seed3,seed3_row108801,-1.3359923559730869,15.0,58.43502021018593,False,23.039566,True,0.207684,0.605888,-1.513188223079632,-0.008981332704935313,0.0,-1.338943,0.430061,PASS,False,False,False,False,False,False
seed3,seed3_row109471,-1.5443777642431336,16.0,56.51381759483454,False,21.948465,True,0.514276,0.606483,-2.128016330820682,0.44008452368221224,0.0,0.05712,0.432551,PASS,False,False,False,False,False,False
seed3,seed3_row119795,-1.6581669160993169,17.0,61.02188301282051,False,27.112651,False,0.338497,0.526801,-0.6853338628883584,-1.685346218872798,0.0,-0.670001,0.107305,PASS,False,False,False,False,False,False
seed3,seed3_row104015,-1.7476051360610358,18.0,57.91915605095541,False,23.87991,False,0.26222,0.501976,-1.6782763727296475,-0.3548428047591261,0.0,-1.034464,0.007903,PASS,False,False,False,False,False,False
seed3,seed3_row108769,-1.7679278397643874,19.0,57.73383928571428,False,23.820426,False,0.257091,0.618897,-1.737581911456001,-0.33036089758340914,0.0,-1.061144,0.484871,PASS,False,False,False,False,False,False
seed3,seed3_row112680,-1.781283703727187,20.0,56.82756801319044,False,22.866774,True,0.272146,0.605936,-2.0276091304143704,0.062134895267404906,0.0,-0.983759,0.43026,PASS,False,False,False,False,False,False
seed3,seed3_row109475,-1.793354489706216,21.0,61.05655710764173,False,27.562827,False,0.238461,0.593913,-0.6742373715884726,-1.870625740168205,0.0,-1.161137,0.380164,PASS,False,False,True,False,False,False
seed3,seed3_row102049,-1.8731904890595,22.0,55.36623567921441,False,21.682075,True,0.365958,0.637422,-2.495268390556987,0.5497230021392671,0.0,-0.549598,0.564191,PASS,False,False,False,False,False,False
seed3,seed3_row88770,-2.2735446685167897,23.0,56.10090909090909,False,23.786318,False,0.267198,0.639392,-2.2601563519252443,-0.3163230237022077,0.0,-1.008884,0.572725,PASS,False,False,False,False,False,False
seed3,seed3_row106769,-2.3653277799452677,24.0,60.07593042071198,False,28.402706,False,0.210865,0.554399,-0.9880599978475573,-2.216295831568158,0.0,-1.319717,0.218461,PASS,False,False,False,False,False,False
seed3,seed3_row103520,-2.378659900338178,25.0,55.879495192307694,False,23.787293,False,0.240975,0.508842,-2.331013786334768,-0.31672430571915766,0.0,-1.147342,0.035373,PASS,False,False,False,False,False,False
seed3,seed3_row104347,-2.7588503510532187,26.0,53.9053162530024,False,22.993717,True,0.212678,0.666098,-2.962795510915289,0.009888799802957636,0.0,-1.308855,0.69059,PASS,False,False,False,False,False,False
seed3,seed3_row101349,-2.9444227698439254,27.0,53.8374262295082,False,23.574504,False,0.263198,0.607711,-2.9845218475056625,-0.22914646048323234,0.0,-1.029413,0.437701,PASS,False,False,False,False,False,False
seed3,seed3_row111281,-3.162380444168732,28.0,54.25815112540193,False,24.737124,False,0.24809,0.542131,-2.849880404924356,-0.7076474846348231,0.0,-1.108825,0.168923,PASS,False,False,False,False,False,False
seed3,seed3_row101918,-3.2708534352015524,29.0,57.420425880425874,False,28.98224,False,0.503522,0.67171,-1.837881260090245,-2.454815393016154,0.0,0.014089,0.715931,PASS,False,False,False,False,False,False
seed3,seed3_row119193,-3.43446369088915,30.0,53.89857723577236,False,25.315321,False,0.262498,0.568354,-2.9649521482103207,-0.9456167752554703,0.0,-1.033026,0.275137,PASS,False,False,False,False,False,False
seed3,seed3_row100354,-3.798558527145978,31.0,53.64719082719082,False,26.318824,False,0.28802,0.557389,-3.045401460877812,-1.358629808954523,0.0,-0.90502,0.230572,PASS,False,False,True,False,False,False
seed3,seed3_row114458,-4.869553381734427,32.0,49.57897219882056,False,25.506749,False,0.229814,0.629538,-4.3473230495595425,-1.0244030459641196,0.0,-1.209361,0.530236,PASS,False,False,False,False,False,False
seed3,seed3_row111498,-5.186741998810339,33.0,48.8072048192771,False,25.657498,False,0.205001,0.532883,-4.594305993362262,-1.0864470077829673,0.0,-1.355326,0.131721,PASS,False,False,False,False,False,False
seed3,seed3_row105756,-5.426433849881131,34.0,51.5867131147541,False,29.69887,False,0.282009,0.59298,-3.7048007365488846,-2.7497597333317803,0.0,-0.934518,0.3763,PASS,False,False,False,False,False,False
seed3,seed3_row116241,-8.649834544246099,35.0,38.40875492513791,False,26.274949,False,0.318407,0.57544,-7.922044161511896,-1.3405721181917192,0.0,-0.761103,0.304083,PASS,False,False,False,False,False,False
