seed,sequence_id,score,rank_within_seed,plddt,ppl,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed2,seed2_row24650,2.598857750427178,1.0,68.9845145631068,22.551118,0.227631,0.577,1.8628875738216213,0.7889726808650804,0.0,-1.221739,0.310469,PASS,False,False,False,False,False,False
seed2,seed2_row41217,2.470374959432735,2.0,67.1214644012945,20.21154,0.214648,0.559239,1.266669560968143,1.4678045692351316,0.0,-1.297134,0.238074,PASS,False,False,False,False,False,False
seed2,seed2_row21549,2.464550308296449,3.0,67.7616533546326,21.233703,0.240493,0.505011,1.471544444872876,1.1712225191765329,0.0,-1.149981,0.020047,PASS,False,False,False,False,False,False
seed2,seed2_row38685,2.408522198971208,4.0,67.69461102106969,21.880662,0.497739,0.603283,1.4500893881528492,0.9835064440262273,0.0,-0.009042,0.419165,PASS,False,False,False,False,False,False
seed2,seed2_row61919,2.3712748664644976,5.0,67.8482619240097,21.854964,0.230306,0.54624,1.4992611377395186,0.9909627553213989,0.0,-1.206584,0.185491,PASS,False,False,False,False,False,False
seed2,seed2_row51740,2.262304533242062,6.0,67.20647441104792,21.777879,0.464727,0.598407,1.2938746787511952,1.0133290778440955,0.0,-0.141326,0.39883,PASS,True,True,True,True,True,False
seed2,seed2_row38101,2.2567761262338,7.0,66.75611650485436,20.845339,0.324855,0.554174,1.1497500054560967,1.283906886825291,0.0,-0.731547,0.217548,PASS,False,False,False,False,False,False
seed2,seed2_row91759,2.2490406311247737,8.0,67.54279483037158,21.930555,0.210211,0.530758,1.4015047878064129,0.9690299190262295,0.0,-1.323655,0.123188,PASS,False,False,False,False,False,False
seed2,seed2_row1418,2.1919590707327616,9.0,67.30791533546326,21.811956,0.205913,0.50719,1.32633805929598,1.0034415877668312,0.0,-1.349741,0.028763,PASS,False,False,False,False,False,False
seed2,seed2_row93521,2.1696498300925406,10.0,67.012344,21.510364,0.224866,0.533886,1.2317485748588393,1.0909489360481452,0.0,-1.23753,0.135754,PASS,False,False,False,False,False,False
seed2,seed2_row59192,2.0956615178997797,11.0,69.66772213247172,26.222449,0.320742,0.55649,2.0815293837538706,-0.2762692369344158,0.0,-0.750365,0.226927,PASS,False,False,False,False,False,False
seed2,seed2_row27717,2.0695975403578353,12.0,66.22249201277955,20.861865,0.291673,0.538696,0.9789781492837976,1.2791118443914824,0.0,-0.887273,0.155095,PASS,False,False,False,False,False,False
seed2,seed2_row33992,2.046827008083516,13.0,67.20869391025641,22.497041,0.247958,0.572952,1.2945849684872108,0.8046631994232935,0.0,-1.109533,0.293906,PASS,False,False,False,False,False,False
seed2,seed2_row38253,2.0377714957766764,14.0,66.09026720647775,20.679968,0.2206,0.513028,0.9366632331966687,1.3318895179714396,0.0,-1.262174,0.052122,PASS,False,False,False,False,False,False
seed2,seed2_row95396,2.0339543841264978,15.0,66.65348278622898,21.789429,0.352192,0.522037,1.1169049038990542,1.0099778288963477,0.0,-0.60942,0.088206,PASS,False,False,False,False,False,False
seed2,seed2_row18310,2.0183433299214846,16.0,67.71577565632458,23.685084,0.45656,0.512736,1.4568625481208903,0.4599508311437059,0.0,-0.174201,0.050954,PASS,False,False,False,False,False,False
seed2,seed2_row47370,1.9978247759445165,17.0,67.8002875399361,23.785683,0.361736,0.519312,1.4839082543193458,0.4307618880359582,0.0,-0.567838,0.077286,PASS,False,False,False,False,False,False
seed2,seed2_row77716,1.9909705688960784,18.0,67.61388168557536,23.446383,0.273996,0.570352,1.4242541825454018,0.5292102662152525,0.0,-0.974443,0.283287,PASS,False,False,False,False,False,False
seed2,seed2_row38832,1.9872507501190346,19.0,65.28649676375404,19.816252,0.284026,0.574279,0.6794385883782386,1.5824979453439945,0.0,-0.924577,0.299333,PASS,False,False,False,False,False,False
seed2,seed2_row38480,1.9572766941313418,20.0,64.2865238480194,18.743199,0.541365,0.548752,0.3594247331706853,1.8938458013723667,0.0,0.165838,0.195631,PASS,False,False,False,False,False,False
