seed,sequence_id,score,rank_within_seed,plddt,ppl,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed3,seed3_row73072,2.41947184446232,1.0,68.95219277108433,20.899207,0.929438,0.508936,0.5072198171497673,2.1880477533036475,0.0,2.578088,0.035746,PASS,False,False,False,False,False,False
seed3,seed3_row73136,2.204570727645532,2.0,69.1429638554217,21.880433,0.924663,0.501408,0.5542435751636443,1.8180666464026967,0.0,2.507455,0.005634,PASS,False,False,False,False,False,False
seed3,seed3_row115004,2.0161942958474315,3.0,70.8135983935743,24.200845,0.959432,0.510644,0.966043479350297,0.9431320235673354,0.0,3.163369,0.042581,PASS,False,False,False,False,False,False
seed3,seed3_row75186,1.981453451906375,4.0,70.0038795180723,23.566333,0.950249,0.511293,0.766453354918552,1.1823811385540324,0.0,2.949688,0.045178,PASS,False,False,False,False,False,False
seed3,seed3_row117671,1.9234835826622714,5.0,68.82194377510041,22.554231,0.841472,0.505623,0.47511433696144467,1.564004351001181,0.0,1.669222,0.022492,PASS,False,False,False,False,False,False
seed3,seed3_row30239,1.8919948178693138,6.0,68.95556626506024,22.93831,0.955916,0.518701,0.5080513601738879,1.4191835109934658,0.0,3.076561,0.074837,PASS,False,False,False,False,False,False
seed3,seed3_row111794,1.8715008846235648,7.0,68.85975903614458,22.903549,0.940542,0.511497,0.48443553828893776,1.4322904947637531,0.0,2.761188,0.045996,PASS,False,False,False,False,False,False
seed3,seed3_row20680,1.8395580808251477,8.0,68.56516465863454,22.731495,0.928418,0.505985,0.4118200537756641,1.4971651814992628,0.0,2.562632,0.023942,PASS,False,False,False,False,False,False
seed3,seed3_row38625,1.7986244935684867,9.0,68.16248995983936,22.508855,0.926559,0.506568,0.31256351466112414,1.5811138270105183,0.0,2.534995,0.026275,PASS,False,False,False,False,False,False
seed3,seed3_row67065,1.7946554663738727,10.0,68.72560642570282,23.053676,0.927621,0.510114,0.45136784402984786,1.3756836033486068,0.0,2.550704,0.040462,PASS,False,False,False,False,False,False
seed3,seed3_row25437,1.7692644700539233,11.0,68.83421686746989,23.237851,0.921511,0.501523,0.47813956967776094,1.3062385719659462,0.0,2.463054,0.006093,PASS,False,False,False,False,False,False
seed3,seed3_row62725,1.7269784097946859,12.0,68.22430522088354,22.877691,0.946337,0.529242,0.3278005506459139,1.4420405130696743,0.0,2.869885,0.117101,PASS,False,False,False,False,False,False
seed3,seed3_row108307,1.7224519502398894,13.0,65.92820846905538,19.914468,0.213382,0.525307,-0.23817148022787507,2.5593534720968067,0.0,-1.30466,0.101316,PASS,False,False,False,False,False,False
seed3,seed3_row34060,1.7150254154527806,14.0,68.05929260450162,22.614603,0.820438,0.514498,0.2871260775257762,1.5412404827528638,0.0,1.519315,0.058007,PASS,False,False,False,False,False,False
seed3,seed3_row78580,1.6824280860170053,15.0,68.23697824335213,22.827249,0.761274,0.501897,0.33092436337642983,1.4610601752008223,0.0,1.159677,0.00759,PASS,False,False,False,False,False,False
seed3,seed3_row37369,1.637139975807225,16.0,69.39880321285142,24.286414,0.937768,0.504481,0.6173062142212782,0.91086737369421,0.0,2.712636,0.017923,PASS,False,False,False,False,False,False
