seed,sequence_id,score,rank_within_seed,plddt,ppl,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed1,seed1_row61389,3.678464630260957,1.0,70.70944444444444,19.044458,0.283999,0.612189,2.3217247293796475,1.6415748584018708,0.0,-0.924711,0.456521,PASS,False,True,False,True,True,False
seed1,seed1_row75725,3.390205399841224,2.0,70.27354285714286,19.336535,0.222122,0.58984,2.141454549266819,1.5202089293920076,0.0,-1.25334,0.363305,PASS,False,False,False,False,False,False
seed1,seed1_row66172,3.3588118600194212,3.0,68.90054738562091,17.627314,0.336898,0.613971,1.5736425748311431,2.2304366931261117,0.0,-0.67715,0.464034,PASS,False,False,False,False,False,False
seed1,seed1_row34601,3.302648507656527,4.0,67.76860294117647,16.103575,0.224086,0.626948,1.1055189551377478,2.863591646455399,0.0,-1.242013,0.519144,PASS,False,False,True,False,False,False
seed1,seed1_row73482,3.234537535454704,5.0,68.37937091503268,17.199779,0.218106,0.626685,1.3581063644559657,2.4080891014267696,0.0,-1.276737,0.518019,PASS,False,False,True,False,False,False
seed1,seed1_row36997,3.171786975564556,6.0,69.17758169934642,18.588308,0.260258,0.618576,1.6882120719093414,1.8311175766503063,0.0,-1.04463,0.48351,PASS,False,False,True,False,False,False
seed1,seed1_row19762,3.1482777537716435,7.0,68.79387254901961,18.115939,0.232687,0.648827,1.5295264427320001,2.027399730056633,0.0,-1.193202,0.613889,PASS,False,False,False,True,False,False
seed1,seed1_row101401,3.139488601552361,8.0,71.08925925925926,21.346409,0.202878,0.601446,2.4787998286011073,0.6850516756446474,0.0,-1.3684,0.411494,PASS,False,False,True,False,False,False
seed1,seed1_row73799,3.0926453146399364,9.0,69.13049959049958,18.724096,0.216298,0.583646,1.6687409332643728,1.774693973393662,0.0,-1.287374,0.337759,PASS,False,False,False,True,False,False
seed1,seed1_row73026,3.0837230709207,10.0,68.73679738562092,18.203723,0.201573,0.618412,1.5059226057981994,1.990923093032144,0.0,-1.37649,0.482812,PASS,False,False,True,False,False,False
seed1,seed1_row100623,3.069647868567722,11.0,69.2534885620915,19.120099,0.32625,0.625341,1.7196038911123053,1.6101439677934521,0.0,-0.725196,0.512279,PASS,False,True,False,False,False,False
seed1,seed1_row77344,3.0514462670686013,12.0,68.47579033579034,17.96882,0.24307,0.592859,1.3979812969010532,2.0885316716679267,0.0,-1.135922,0.375796,PASS,False,False,True,False,False,False
seed1,seed1_row74882,3.048721993465462,13.0,68.08242647058823,17.450763,0.255426,0.620662,1.2353028921977454,2.3037984303824524,0.0,-1.069877,0.49236,PASS,False,True,False,False,True,False
seed1,seed1_row1091,3.0335656817584082,14.0,68.76087418300654,18.435788,0.209871,0.642895,1.515879735406545,1.894493780502662,0.0,-1.325702,0.587952,PASS,False,False,False,True,False,False
seed1,seed1_row29197,2.971046380391445,15.0,69.36771241830066,19.643748,0.348993,0.623595,1.7668419735874652,1.3925535811485428,0.0,-0.623469,0.504835,PASS,False,True,False,False,True,False
