seed,sequence_id,plddt,ppl,dr_prob,pam_prob,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed2,seed2_row11025,64.01767799352751,20.668873,0.247358,0.556085,-1.112755,0.225288,PASS,False,False,False,False,False,False
seed2,seed2_row11124,65.88867206477732,27.983498,0.327735,0.552399,-0.718447,0.210368,PASS,False,False,False,False,False,False
seed2,seed2_row11271,60.869255663430415,28.055813,0.200354,0.544093,-1.384085,0.17683,PASS,False,False,False,False,False,False
seed2,seed2_row11292,64.3378337330136,24.057083,0.429046,0.561201,-0.285746,0.246037,PASS,False,False,False,False,False,False
seed2,seed2_row11423,66.73773279352227,27.325213,0.63114,0.551579,0.537112,0.207054,PASS,False,False,False,False,False,False
seed2,seed2_row11541,63.23181300813008,20.433436,0.383209,0.662059,-0.47595,0.672482,PASS,False,False,False,False,False,False
seed2,seed2_row11566,65.60085760517799,23.051863,0.328676,0.577785,-0.714181,0.313688,PASS,False,False,False,False,False,False
seed2,seed2_row11656,66.030632,22.640757,0.350939,0.559785,-0.614914,0.240291,PASS,False,False,False,False,False,False
seed2,seed2_row12107,63.369558101473,22.623355,0.252012,0.651306,-1.087911,0.624785,PASS,False,False,False,False,False,False
seed2,seed2_row12278,65.82996761133603,25.633579,0.302208,0.610909,-0.836803,0.451134,PASS,False,False,False,False,False,False
seed2,seed2_row12286,64.92995948136144,28.446377,0.212234,0.55413,-1.311511,0.217373,PASS,False,False,False,False,False,False
seed2,seed2_row12401,61.60037459283389,27.149243,0.212121,0.628365,-1.312187,0.525208,PASS,True,True,True,True,True,False
seed2,seed2_row12466,60.5050783182193,23.03844,0.221219,0.666516,-1.258577,0.692468,PASS,False,False,False,True,False,False
seed2,seed2_row13339,60.95966475878986,27.99286,0.213263,0.637579,-1.305368,0.564872,PASS,False,False,False,False,False,False
seed2,seed2_row1370,61.71047889610389,23.653284,0.286051,0.621686,-0.914641,0.496712,PASS,True,True,True,True,True,False
seed2,seed2_row13750,64.24714516129033,26.739219,0.241303,0.566897,-1.14555,0.269201,PASS,False,False,False,False,False,False
seed2,seed2_row1418,67.30791533546326,21.811956,0.205913,0.50719,-1.349741,0.028763,PASS,False,False,False,False,False,False
seed2,seed2_row14305,66.12840614886731,39.414679,0.367325,0.518127,-0.543708,0.072538,PASS,False,False,False,False,False,False
seed2,seed2_row1458,65.8514955537591,22.663991,0.201412,0.565098,-1.377494,0.26188,PASS,False,False,False,False,False,False
seed2,seed2_row14769,67.47344939271254,26.682776,0.285343,0.583625,-0.918109,0.337671,PASS,False,False,False,False,False,False
seed2,seed2_row14952,67.17593924860113,26.893347,0.27406,0.518088,-0.974118,0.072385,PASS,False,False,False,False,False,False
seed2,seed2_row1496,65.23617766911165,29.285223,0.219431,0.651116,-1.268986,0.623948,PASS,False,False,False,False,False,False
seed2,seed2_row15490,64.13244732576986,34.680948,0.414455,0.537907,-0.345579,0.151919,PASS,False,False,False,False,False,False
seed2,seed2_row16108,64.02069410815173,26.19355,0.377172,0.543724,-0.50157,0.175344,PASS,False,False,False,False,False,False
seed2,seed2_row16723,64.24996006389775,22.725464,0.21086,0.601868,-1.319751,0.413255,PASS,False,False,False,False,False,False
seed2,seed2_row16841,65.22810483870967,27.650887,0.21974,0.553192,-1.267181,0.213576,PASS,False,False,False,False,False,False
seed2,seed2_row16856,66.18551118210863,25.674234,0.237172,0.549987,-1.168245,0.200618,PASS,False,False,False,False,False,False
seed2,seed2_row1695,66.75395700636943,22.974932,0.245418,0.556979,-1.123203,0.228909,PASS,False,False,False,False,False,False
seed2,seed2_row17028,63.04379705400982,21.157412,0.211717,0.618844,-1.314607,0.484644,PASS,False,False,False,False,False,False
seed2,seed2_row17294,64.2449353796446,20.292958,0.274718,0.569735,-0.970818,0.28077,PASS,False,False,False,False,False,False
seed2,seed2_row17477,58.614235486508576,21.009557,0.242096,0.62346,-1.141225,0.50426,PASS,False,False,False,False,False,False
seed2,seed2_row17519,62.559315746084096,27.615488,0.276243,0.637599,-0.963177,0.564957,PASS,False,False,False,False,False,False
seed2,seed2_row17583,61.49421647819063,20.295121,0.265073,0.581529,-1.019765,0.329053,PASS,False,False,False,False,False,False
seed2,seed2_row17631,61.9579307568438,23.59271,0.308753,0.571229,-0.805956,0.286869,PASS,False,False,False,False,False,False
seed2,seed2_row17682,61.96484055600981,28.053338,0.292832,0.658614,-0.881668,0.657122,PASS,False,False,False,False,False,False
seed2,seed2_row17892,64.4877094972067,19.812666,0.32571,0.517722,-0.727653,0.070918,PASS,False,False,False,False,False,False
seed2,seed2_row18310,67.71577565632458,23.685084,0.45656,0.512736,-0.174201,0.050954,PASS,False,False,False,False,False,False
seed2,seed2_row19128,64.11422950819673,22.387913,0.255227,0.668908,-1.070924,0.703251,PASS,False,False,False,False,False,False
seed2,seed2_row19158,65.39252427184466,37.700316,0.225198,0.546737,-1.235626,0.187493,PASS,False,False,False,False,False,False
seed2,seed2_row19901,64.07191283292978,22.432062,0.346066,0.59073,-0.636376,0.366985,PASS,False,False,False,False,False,False
seed2,seed2_row2009,65.07478017585932,21.818671,0.218043,0.542616,-1.277109,0.170879,PASS,False,False,False,False,False,False
seed2,seed2_row20232,63.20329011345219,23.310565,0.39261,0.548908,-0.436354,0.196258,PASS,False,False,False,False,False,False
seed2,seed2_row20477,63.02941747572815,27.007727,0.395105,0.565837,-0.425904,0.264886,PASS,False,False,False,False,False,False
seed2,seed2_row20478,64.47757551020408,23.326827,0.322539,0.689266,-0.742129,0.796689,PASS,False,False,False,False,False,False
seed2,seed2_row20566,66.58694915254236,22.755223,0.203519,0.537657,-1.364443,0.150914,PASS,False,False,False,False,False,False
seed2,seed2_row20745,59.95656752411576,24.688421,0.342985,0.550003,-0.650022,0.200681,PASS,False,False,False,False,False,False
seed2,seed2_row20917,62.62200485044463,24.664582,0.234767,0.555582,-1.181589,0.22325,PASS,False,False,False,False,False,False
seed2,seed2_row21140,63.452405165456014,26.112639,0.221651,0.565615,-1.256073,0.263981,PASS,False,False,False,False,False,False
seed2,seed2_row21193,65.17209208400648,25.698547,0.420927,0.554819,-0.318969,0.220162,PASS,False,False,False,False,False,False
seed2,seed2_row21201,67.55847266881028,24.127309,0.208516,0.602407,-1.333893,0.415503,PASS,False,False,False,False,False,False
seed2,seed2_row21240,66.154928,22.752278,0.212599,0.528515,-1.309332,0.114186,PASS,False,False,False,False,False,False
seed2,seed2_row2136,62.16967689822294,20.578678,0.203833,0.581816,-1.362507,0.330234,PASS,False,False,False,False,False,False
seed2,seed2_row21460,62.548844911147015,28.304685,0.267841,0.512558,-1.005603,0.050241,PASS,False,False,False,False,False,False
seed2,seed2_row21470,64.59712206952304,27.000542,0.373983,0.587987,-0.515167,0.355649,PASS,False,False,False,False,False,False
seed2,seed2_row21474,60.65576104746317,24.66814,0.400494,0.69715,-0.403405,0.833761,PASS,False,False,False,False,False,False
seed2,seed2_row21549,67.7616533546326,21.233703,0.240493,0.505011,-1.149981,0.020047,PASS,False,False,False,False,False,False
seed2,seed2_row21678,66.29403395311238,23.810534,0.225969,0.544243,-1.231215,0.177434,PASS,False,False,False,False,False,False
seed2,seed2_row21808,60.047138289368505,31.899892,0.225306,0.572305,-1.235009,0.291264,PASS,False,False,False,False,False,False
seed2,seed2_row21897,61.79143664245359,23.185676,0.205507,0.578591,-1.352221,0.316991,PASS,False,False,False,False,False,False
seed2,seed2_row22048,63.47522764227642,25.301292,0.210238,0.612737,-1.323491,0.458834,PASS,False,False,False,False,False,False
seed2,seed2_row22064,67.24174474959612,27.084682,0.227757,0.565692,-1.221018,0.264297,PASS,False,False,False,False,False,False
seed2,seed2_row2209,64.96996776792909,23.338632,0.217098,0.562823,-1.28266,0.252628,PASS,False,False,False,False,False,False
seed2,seed2_row22503,67.6501297648013,26.330328,0.306745,0.536329,-0.815383,0.145571,PASS,True,True,True,True,True,False
seed2,seed2_row22540,61.09882780921585,25.652745,0.217696,0.501451,-1.279145,0.005802,PASS,False,False,False,False,False,False
seed2,seed2_row22981,65.27126205787782,29.470372,0.319322,0.59477,-0.756891,0.383718,PASS,False,False,False,False,False,False
seed2,seed2_row23135,64.16317704122878,24.661142,0.316236,0.574738,-0.771126,0.301207,PASS,False,False,False,False,False,False
seed2,seed2_row23482,64.40374492282697,23.875777,0.242649,0.575568,-1.138211,0.304607,PASS,False,False,False,False,False,False
seed2,seed2_row23544,63.27264,26.477692,0.259728,0.550661,-1.047385,0.20334,PASS,False,False,False,False,False,False
